Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
xiaoyangW,7,9.48,"Python, HTML",https://avatars1.githubusercontent.com/u/19143485?v=4,44
tanwenhai,7,9.48,"Kotlin, CSS, Perl, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/6077165?v=4,62
macrozheng,30,9.48,"Vue, JavaScript, Dart",https://avatars2.githubusercontent.com/u/15903809?v=4,32
skylot,30,9.48,,https://avatars3.githubusercontent.com/u/118523?v=4,2
asashour,12,9.48,"Python, C++",https://avatars0.githubusercontent.com/u/2410127?v=4,8
jpstotz,1,9.48,"C++, Python, C#, Go, Makefile, C, JavaScript",https://avatars3.githubusercontent.com/u/924885?v=4,50
sergey-wowwow,2,9.48,,https://avatars0.githubusercontent.com/u/15173437?v=4,0
NeoSpb,0,9.48,"C++, Python, PHP, Shell, C",https://avatars1.githubusercontent.com/u/3824056?v=4,22
sergeytoshin,0,9.48,,https://avatars0.githubusercontent.com/u/45564218?v=4,0
13-beta2,1,9.48,"Makefile, C#",https://avatars0.githubusercontent.com/u/2017168?v=4,12
Donlon,4,9.48,"HTML, C++, Python, Pascal, C",https://avatars3.githubusercontent.com/u/4056887?v=4,26
daramos,4,9.48,"Rust, Go, PHP, Shell, C, JavaScript",https://avatars2.githubusercontent.com/u/1821444?v=4,40
tRuNKator,0,9.48,"Kotlin, C++, Python, HTML, C",https://avatars2.githubusercontent.com/u/34552981?v=4,84
FlXME,0,9.48,"Python, PHP, JavaScript",https://avatars3.githubusercontent.com/u/22281321?v=4,24
wuyongzheng,18,9.48,"HTML, C++, Python, Lua, Makefile, Shell, C, JavaScript",https://avatars0.githubusercontent.com/u/128517?v=4,74
allight,2,9.48,"C++, Python, Smali, Go, TypeScript",https://avatars1.githubusercontent.com/u/3878235?v=4,18
riboribo,0,9.48,,https://avatars1.githubusercontent.com/u/9336045?v=4,2
mingyuan-xia,30,9.48,"C++, Python, TeX, CoffeeScript, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/1170592?v=4,38
rgoggins,1,9.48,"Swift, Python, HTML, C, Visual Basic, JavaScript",https://avatars3.githubusercontent.com/u/21098225?v=4,38
asviridenko,0,9.48,,https://avatars1.githubusercontent.com/u/7235847?v=4,2
mtdcr,6,9.48,"C++, Python, Shell, PHP, HTML, C, Ruby",https://avatars3.githubusercontent.com/u/925299?v=4,66
dnet,30,9.48,"Rust, Kotlin, Arduino, Erlang, PHP, JavaScript, OpenEdge ABL, C++, Python, GCC Machine Description, TeX, HTML, Shell, Go, Perl, Eagle, Processing, Verilog, C, Ruby",https://avatars1.githubusercontent.com/u/163115?v=4,364
antonellof,3,9.48,"Swift, Python, TypeScript, PHP, HTML, JavaScript",https://avatars2.githubusercontent.com/u/6189495?v=4,52
JaviLukiOfficial,0,12.2,"HTML, C++",https://avatars0.githubusercontent.com/u/42473691?v=4,10
kendling,2,9.48,"C++, VimL, Shell, C",https://avatars3.githubusercontent.com/u/3919496?v=4,48
KpChuck,1,9.48,"HTML, Kotlin",https://avatars1.githubusercontent.com/u/26860157?v=4,18
soldierkam,2,9.48,"C++, Python, TypeScript, Smarty, Dockerfile, Go, Shell, C, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/774583?v=4,122
netmaxt3r,3,9.48,"Objective-C, C++, Dart, Makefile, Shell, C, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/1734518?v=4,74
TheStrix,30,9.48,"C++, Perl, C, Makefile, HTML, Shell",https://avatars2.githubusercontent.com/u/7228747?v=4,84
Tneciv,27,9.48,"Objective-C, CSS, HTML, JavaScript",https://avatars3.githubusercontent.com/u/7685451?v=4,30
vbauer,30,12.2,"HTML, Clojure, Shell, JavaScript",https://avatars0.githubusercontent.com/u/578021?v=4,48
